Friday_of_Week,NFCI
5/8/87,0.498733234
5/15/87,0.56413327
5/22/87,0.603363666
5/29/87,0.611001025
6/5/87,0.591528339
6/12/87,0.549397559
6/19/87,0.486998219
6/26/87,0.413747191
7/3/87,0.333968274
7/10/87,0.253916396
7/17/87,0.175639227
7/24/87,0.103264729
7/31/87,0.042274593
8/7/87,-0.000833969
8/14/87,-0.022581285
8/21/87,-0.013181664
8/28/87,0.029652781
9/4/87,0.106647179
9/11/87,0.211307213
9/18/87,0.339257164
9/25/87,0.481660001
10/2/87,0.63205089
10/9/87,0.777705247
10/16/87,0.908379235
10/23/87,1.015667873
10/30/87,1.092416248
11/6/87,1.131983397
11/13/87,1.142668191
11/20/87,1.130715685
11/27/87,1.098464663
12/4/87,1.051466285
12/11/87,0.987099595
12/18/87,0.911395016
12/25/87,0.824310361
1/1/88,0.730195145
1/8/88,0.632339025
1/15/88,0.53666812
1/22/88,0.443526843
1/29/88,0.35669109
2/5/88,0.278872812
2/12/88,0.213648997
2/19/88,0.163777809
2/26/88,0.128612087
3/4/88,0.108284926
3/11/88,0.102259316
3/18/88,0.109656586
3/25/88,0.126302643
4/1/88,0.150556111
4/8/88,0.178827722
4/15/88,0.205002056
4/22/88,0.227213318
4/29/88,0.241426139
5/6/88,0.248478409
5/13/88,0.250617344
5/20/88,0.249833401
5/27/88,0.249128996
6/3/88,0.252091056
6/10/88,0.26008788
6/17/88,0.274563099
6/24/88,0.296270484
7/1/88,0.323892919
7/8/88,0.353830168
7/15/88,0.382741554
7/22/88,0.407358224
7/29/88,0.42359432
8/5/88,0.430507247
8/12/88,0.427201401
8/19/88,0.414093501
8/26/88,0.391714474
9/2/88,0.363513318
9/9/88,0.331602844
9/16/88,0.300393644
9/23/88,0.272621604
9/30/88,0.248588918
10/7/88,0.228037296
10/14/88,0.210321678
10/21/88,0.194928519
10/28/88,0.181693321
11/4/88,0.170528881
11/11/88,0.161980002
11/18/88,0.155200425
11/25/88,0.150614572
12/2/88,0.146597736
12/9/88,0.143604336
12/16/88,0.140422349
12/23/88,0.138487243
12/30/88,0.137604409
1/6/89,0.139901221
1/13/89,0.146678783
1/20/89,0.159991405
1/27/89,0.183068194
2/3/89,0.218808311
2/10/89,0.268137171
2/17/89,0.330901863
2/24/89,0.402939168
3/3/89,0.480627855
3/10/89,0.556415463
3/17/89,0.624979652
3/24/89,0.678817384
3/31/89,0.712177961
4/7/89,0.722243896
4/14/89,0.707802158
4/21/89,0.669227694
4/28/89,0.614878096
5/5/89,0.54793888
5/12/89,0.478463055
5/19/89,0.412273584
5/26/89,0.356651159
6/2/89,0.314806768
6/9/89,0.287231172
6/16/89,0.270625908
6/23/89,0.260904304
6/30/89,0.252470584
7/7/89,0.24284272
7/14/89,0.229466269
7/21/89,0.215056287
7/28/89,0.202876828
8/4/89,0.195244675
8/11/89,0.197277214
8/18/89,0.209555866
8/25/89,0.231922715
9/1/89,0.262794468
9/8/89,0.297293561
9/15/89,0.331244259
9/22/89,0.358075369
9/29/89,0.37509453
10/6/89,0.378201573
10/13/89,0.365398325
10/20/89,0.337416542
10/27/89,0.296562777
11/3/89,0.246794141
11/10/89,0.194107261
11/17/89,0.142601773
11/24/89,0.097203388
12/1/89,0.060923862
12/8/89,0.035810366
12/15/89,0.02182893
12/22/89,0.018105016
12/29/89,0.0219609
1/5/90,0.031715892
1/12/90,0.043376827
1/19/90,0.05322287
1/26/90,0.060416165
2/2/90,0.062259728
2/9/90,0.059438467
2/16/90,0.053649798
2/23/90,0.047052341
3/2/90,0.042400702
3/9/90,0.041556559
3/16/90,0.047056938
3/23/90,0.057952071
3/30/90,0.073040016
4/6/90,0.089772468
4/13/90,0.102550372
4/20/90,0.109393636
4/27/90,0.106726287
5/4/90,0.092158321
5/11/90,0.066508526
5/18/90,0.031446019
5/25/90,-0.009745311
6/1/90,-0.052992235
6/8/90,-0.093121115
6/15/90,-0.126121126
6/22/90,-0.149102624
6/29/90,-0.159204934
7/6/90,-0.155933519
7/13/90,-0.140482903
7/20/90,-0.113501566
7/27/90,-0.076756563
8/3/90,-0.032616117
8/10/90,0.017645675
8/17/90,0.070125458
8/24/90,0.12476042
8/31/90,0.178700978
9/7/90,0.232271634
9/14/90,0.283394063
9/21/90,0.331242106
9/28/90,0.374578815
10/5/90,0.407803811
10/12/90,0.431339646
10/19/90,0.445662183
10/26/90,0.450694411
11/2/90,0.451008635
11/9/90,0.450192818
11/16/90,0.450130104
11/23/90,0.454379752
11/30/90,0.465028401
12/7/90,0.477990893
12/14/90,0.493162443
12/21/90,0.508390702
12/28/90,0.515867366
1/4/91,0.508713595
1/11/91,0.48767908
1/18/91,0.448302638
1/25/91,0.389047126
2/1/91,0.320167752
2/8/91,0.244839159
2/15/91,0.16931589
2/22/91,0.098200929
3/1/91,0.03401532
3/8/91,-0.023402773
3/15/91,-0.073310022
3/22/91,-0.115785423
3/29/91,-0.151806947
4/5/91,-0.181332528
4/12/91,-0.205441262
4/19/91,-0.225002824
4/26/91,-0.23875326
5/3/91,-0.247435875
5/10/91,-0.251077904
5/17/91,-0.249791629
5/24/91,-0.245563651
5/31/91,-0.240574645
6/7/91,-0.238185202
6/14/91,-0.241211658
6/21/91,-0.25248393
6/28/91,-0.272205212
7/5/91,-0.301412302
7/12/91,-0.337080171
7/19/91,-0.377206947
7/26/91,-0.417715044
8/2/91,-0.45524128
8/9/91,-0.48768817
8/16/91,-0.51277056
8/23/91,-0.530693519
8/30/91,-0.543376525
9/6/91,-0.55056564
9/13/91,-0.555961342
9/20/91,-0.559649194
9/27/91,-0.562720906
10/4/91,-0.565749783
10/11/91,-0.570463921
10/18/91,-0.576358985
10/25/91,-0.583528959
11/1/91,-0.592330732
11/8/91,-0.601778827
11/15/91,-0.611401493
11/22/91,-0.620892173
11/29/91,-0.630848994
12/6/91,-0.641230127
12/13/91,-0.651641997
12/20/91,-0.659506304
12/27/91,-0.666418807
1/3/92,-0.668382716
1/10/92,-0.669189682
1/17/92,-0.666395235
1/24/92,-0.663056691
1/31/92,-0.660601864
2/7/92,-0.658691756
2/14/92,-0.657903469
2/21/92,-0.657815138
