"date","PCE","Consumption_logdiff","INDPRO","Output_logdiff","MORTGAGE30US","LOANINV","CreditSupply_logdiff","CSUSHPISA","HousePrice_logdiff"
2003-12-01,7950.4,0.0035028070843186,92.2602,0.000295946029409855,5.876,5790.2254,0.0110221149480267,140.181,0.00993642036289266
2004-01-01,8007.1,0.00710640621865188,92.4006,0.00152062621903415,5.7125,5819.3749,0.0050216304612416,141.647,0.0104036023580214
2004-02-01,8040.4,0.00415018511253429,92.958,0.00601430610916065,5.635,5904.252,0.0144799188374307,143.192,0.0108483399541814
2004-03-01,8098.8,0.00723706935811919,92.5861,-0.00400875584876825,5.445,5980.6309,0.0128532947557609,145.059,0.0129541691681467
2004-04-01,8107.2,0.00103665318428448,92.93,0.00370749917580682,5.83,6035.1511,0.00907482744871402,146.593,0.010519483123379
2004-05-01,8176.5,0.0085116304507995,93.6013,0.00719775070673734,6.27,6065.5223,0.00501976423469408,148.186,0.0108082021274072
2004-06-01,8157.6,-0.00231417812242896,92.871,-0.00783283880618857,6.2875,6107.4636,0.00689090849333063,149.851,0.0111732256172798
2004-07-01,8236.9,0.00967405147518008,93.5649,0.00744387968366667,6.056,6134.4311,0.00440577938020148,151.339,0.0098808865257034
2004-08-01,8271.6,0.00420390115441016,93.6277,0.00067096671936806,5.8675,6166.5952,0.00522951053301313,152.634,0.0085205451451742
2004-09-01,8341.5,0.00841509561612241,93.7467,0.0012701843581544,5.754,6227.3844,0.0098095509959073,154.178,0.0100648803446086
2004-10-01,8397.1,0.00664335183204656,94.5465,0.00849531273723336,5.7225,6260.3561,0.00528066332241117,155.75,0.0101443785716642
2004-11-01,8444.5,0.00562893373020046,94.7813,0.00248035545099423,5.73,6301.5757,0.00656264475788504,157.526,0.011338366339106
2004-12-01,8504.4,0.00706833474623458,95.5365,0.0079362410009356,5.752,6375.2169,0.0116184007590849,159.329,0.0113807227941223
2005-01-01,8497.7,-0.000788137976698522,95.8801,0.00359007911587028,5.71,6494.3885,0.01852038234947,161.288,0.0122203400266194
2005-02-01,8559.1,0.00719950579374284,96.5761,0.00723284606277108,5.6275,6556.9426,0.00958593089522708,163.345,0.012672941629682
2005-03-01,8598.4,0.00458109499991721,96.4456,-0.00135217977961766,5.928,6627.7985,0.0107482705346751,165.814,0.015002149762557
2005-04-01,8678.4,0.00926104044479459,96.6532,0.00215019544382233,5.855,6660.9991,0.00499679054169988,167.504,0.01014055335735
2005-05-01,8671.6,-0.000783861711605383,96.7402,0.000899720526851944,5.72,6717.6116,0.00846318637673349,169.353,0.0109780623217279
2005-06-01,8753.4,0.00938887815154388,97.1753,0.00448752915746375,5.582,6751.0035,0.00495848580839287,171.193,0.0108062811225169
2005-07-01,8853.8,0.0114045490705621,96.8676,-0.00317146628821696,5.695,6839.5613,0.0130324316493535,172.862,0.00970201329300924
2005-08-01,8850.1,-0.000417987003300979,97.1833,0.0032537883465622,5.82,6898.4002,0.00856593749754175,174.444,0.00911018491793492
2005-09-01,8900.4,0.00566746115734595,95.3005,-0.0195638287695461,5.774,6936.7429,0.00554281193753603,176.44,0.011377102004551
2005-10-01,8938.5,0.00427157032463121,96.4572,0.0120643294072105,6.065,6973.4084,0.00527177370328502,178.03,0.00897120018003239
2005-11-01,8946.2,0.000861071248134948,97.5414,0.0111775166214949,6.33,6993.3052,0.00284917612398949,179.683,0.00924211178304457
2005-12-01,8981.1,0.00389350812320899,98.0452,0.00515169356423151,6.272,7072.4677,0.0112561657853387,180.912,0.0068165379930738
2006-01-01,9071.6,0.0100262850582205,98.1999,0.00157660020091566,6.145,7121.7521,0.00694431941312601,182.321,0.00775814459127844
2006-02-01,9096,0.002686102145665,98.2413,0.000421500180338263,6.2525,7172.8059,0.00714314035908004,183.287,0.00528436056059256
2006-03-01,9132.9,0.0040485218966424,98.4628,0.00225211465974606,6.324,7220.6965,0.00665449942546381,184.365,0.005864257990293
2006-04-01,9191.6,0.00640674515376638,98.7618,0.00303207844327069,6.5075,7316.9283,0.0132391923598636,184.33,-0.00018985882697109
2006-05-01,9231.8,0.00436402225427379,98.7869,0.000254114556411444,6.5975,7395.3046,0.0106546765518267,184.157,-0.00093897484964689
